timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,expiry_date,instrument_key,trading_day,is_expired
2025-07-10T11:00:00+05:30,26.3,26.45,22.35,24.2,7899225,25034925,2025-07-10 11:00:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:00:00+05:30,75.0,88.0,74.65,81.85,7166925,7792200,2025-07-10 11:00:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:05:00+05:30,24.25,25.3,22.6,23.85,5534925,25285725,2025-07-10 11:05:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:05:00+05:30,82.0,88.0,77.5,84.3,5065800,7639875,2025-07-10 11:05:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:10:00+05:30,23.9,26.6,23.7,25.9,7197975,25617750,2025-07-10 11:10:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:10:00+05:30,84.45,84.85,68.65,71.0,5316975,7789875,2025-07-10 11:10:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:15:00+05:30,25.95,26.4,22.45,22.65,7344450,25489200,2025-07-10 11:15:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:15:00+05:30,71.0,77.35,69.0,76.35,4123425,8014500,2025-07-10 11:15:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:20:00+05:30,22.6,23.45,16.15,17.7,16085700,25048425,2025-07-10 11:20:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:20:00+05:30,76.3,95.7,73.65,90.9,8938575,6937500,2025-07-10 11:20:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:25:00+05:30,17.7,18.8,16.8,18.45,9876075,25549350,2025-07-10 11:25:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:25:00+05:30,90.9,93.9,78.0,80.5,5284200,6932625,2025-07-10 11:25:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:30:00+05:30,18.45,20.15,17.1,17.95,9163350,25143600,2025-07-10 11:30:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:30:00+05:30,80.2,89.0,76.55,81.7,4740525,7239000,2025-07-10 11:30:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:35:00+05:30,17.95,19.2,16.4,18.3,6121425,25405725,2025-07-10 11:35:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:35:00+05:30,81.8,88.6,78.0,80.9,3024075,7182000,2025-07-10 11:35:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:40:00+05:30,18.3,20.35,17.1,17.6,7072050,25170750,2025-07-10 11:40:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:40:00+05:30,80.5,87.35,75.5,84.3,3382200,7035375,2025-07-10 11:40:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:45:00+05:30,17.6,20.7,17.25,18.3,6441675,25493775,2025-07-10 11:45:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:45:00+05:30,84.25,86.55,74.8,80.45,3999375,7152525,2025-07-10 11:45:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:50:00+05:30,18.3,19.15,16.5,18.8,6029775,25989825,2025-07-10 11:50:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:50:00+05:30,80.45,84.65,74.0,75.0,3057675,7051350,2025-07-10 11:50:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T11:55:00+05:30,18.8,20.1,14.7,14.9,10881900,25755375,2025-07-10 11:55:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
2025-07-10T11:55:00+05:30,74.9,85.0,71.0,84.2,4224300,6720150,2025-07-10 11:55:00+05:30,2025-07-10,PE,25450,2025-07-10,NSE_FO|40048|10-07-2025,2025-07-10,True
2025-07-10T12:00:00+05:30,14.9,15.65,13.55,14.1,10409475,25858950,2025-07-10 12:00:00+05:30,2025-07-10,CE,25450,2025-07-10,NSE_FO|40047|10-07-2025,2025-07-10,True
