SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR,Gross_PnL,Costs
2025-10-14 11:45:00+05:30,2025-10-14 11:50:00+05:30,300,BUY_PE,25300,164.7,2025-10-14 12:20:00+05:30,178.31,ATR Trail Hit,178.31,139.7,True,13.61,933.25,1020.75,87.5
2025-10-14 12:40:00+05:30,2025-10-14 12:45:00+05:30,300,BUY_PE,25300,228.7,2025-10-14 13:05:00+05:30,238.7,Locked Profit Hit,238.7,203.7,True,10.0,662.5,750.0,87.5
2025-10-14 14:30:00+05:30,2025-10-14 14:35:00+05:30,300,BUY_CE,25300,1.55,2025-10-14 15:00:00+05:30,0.15,SL Hit,0.15,0.15,False,-1.4,-192.5,-105.0,87.5
2025-10-15 10:15:00+05:30,2025-10-15 10:20:00+05:30,300,BUY_CE,25250,148.95,2025-10-15 11:05:00+05:30,185.06,ATR Trail Hit,185.06,123.95,True,36.11,2620.75,2708.25,87.5
2025-10-15 11:15:00+05:30,2025-10-15 11:20:00+05:30,300,BUY_CE,25250,181.85,2025-10-15 11:25:00+05:30,207.2,MACD/EMA Exit,197.96,156.85,True,25.35,1813.75,1901.25,87.5
2025-10-15 11:30:00+05:30,2025-10-15 11:35:00+05:30,300,BUY_CE,25250,192.9,2025-10-15 12:50:00+05:30,202.85,MACD/EMA Exit,200.9,167.9,True,9.95,658.75,746.25,87.5
2025-10-15 12:55:00+05:30,2025-10-15 13:00:00+05:30,300,BUY_CE,25250,204.5,2025-10-15 13:15:00+05:30,214.5,Locked Profit Hit,214.5,185.06,True,10.0,662.5,750.0,87.5
2025-10-15 13:20:00+05:30,2025-10-15 13:25:00+05:30,300,BUY_CE,25250,217.2,2025-10-15 13:35:00+05:30,225.2,Safe SL Hit,225.2,196.44,True,8.0,512.5,600.0,87.5
2025-10-15 13:55:00+05:30,2025-10-15 14:00:00+05:30,300,BUY_CE,25250,196.15,2025-10-15 15:25:00+05:30,201.4,EOD Exit,174.67,174.67,False,5.25,306.25,393.75,87.5
2025-10-16 10:15:00+05:30,2025-10-16 10:20:00+05:30,300,BUY_CE,25500,80.75,2025-10-16 10:30:00+05:30,88.75,Safe SL Hit,88.75,60.34,True,8.0,512.5,600.0,87.5
2025-10-16 10:40:00+05:30,2025-10-16 10:45:00+05:30,300,BUY_CE,25500,91.7,2025-10-16 12:15:00+05:30,99.7,Safe SL Hit,99.7,77.18,True,8.0,512.5,600.0,87.5
2025-10-16 12:25:00+05:30,2025-10-16 12:30:00+05:30,300,BUY_CE,25500,111.5,2025-10-16 12:40:00+05:30,121.5,Locked Profit Hit,121.5,96.49,True,10.0,662.5,750.0,87.5
2025-10-16 12:50:00+05:30,2025-10-16 12:55:00+05:30,300,BUY_CE,25500,129.2,2025-10-16 13:35:00+05:30,137.2,Safe SL Hit,137.2,111.58,True,8.0,512.5,600.0,87.5
2025-10-16 14:00:00+05:30,2025-10-16 14:05:00+05:30,300,BUY_CE,25500,147.5,2025-10-16 14:15:00+05:30,162.09,ATR Trail Hit,162.09,125.77,True,14.59,1006.75,1094.25,87.5
2025-10-16 14:20:00+05:30,2025-10-16 14:25:00+05:30,300,BUY_CE,25500,170.8,2025-10-16 14:35:00+05:30,180.8,Locked Profit Hit,180.8,148.16,True,10.0,662.5,750.0,87.5
2025-10-16 14:55:00+05:30,2025-10-16 15:00:00+05:30,300,BUY_CE,25500,186.45,2025-10-16 15:05:00+05:30,161.45,SL Hit,161.45,161.45,False,-25.0,-1962.5,-1875.0,87.5
2025-10-17 10:15:00+05:30,2025-10-17 10:20:00+05:30,300,BUY_CE,25600,152.5,2025-10-17 10:35:00+05:30,162.5,Locked Profit Hit,162.5,127.5,True,10.0,662.5,750.0,87.5
2025-10-17 10:45:00+05:30,2025-10-17 10:50:00+05:30,300,BUY_CE,25600,162.25,2025-10-17 11:40:00+05:30,234.02,ATR Trail Hit,234.02,137.25,True,71.77,5295.25,5382.75,87.5
2025-10-17 11:45:00+05:30,2025-10-17 11:50:00+05:30,300,BUY_CE,25600,214.25,2025-10-17 12:10:00+05:30,224.4,MACD/EMA Exit,222.25,189.25,True,10.15,673.75,761.25,87.5
2025-10-17 12:25:00+05:30,2025-10-17 12:30:00+05:30,300,BUY_CE,25600,232.55,2025-10-17 12:40:00+05:30,207.55,SL Hit,207.55,207.55,False,-25.0,-1962.5,-1875.0,87.5
2025-10-17 13:05:00+05:30,2025-10-17 13:10:00+05:30,300,BUY_PE,25600,63.1,2025-10-17 13:35:00+05:30,73.1,Locked Profit Hit,73.1,47.76,True,10.0,662.5,750.0,87.5
2025-10-17 13:45:00+05:30,2025-10-17 13:50:00+05:30,300,BUY_PE,25600,67.0,2025-10-17 14:30:00+05:30,42.0,SL Hit,42.0,42.0,False,-25.0,-1962.5,-1875.0,87.5
2025-10-20 10:25:00+05:30,2025-10-20 10:30:00+05:30,300,BUY_CE,25900,32.95,2025-10-20 10:35:00+05:30,42.3,MACD/EMA Exit,40.95,7.95,True,9.35,613.75,701.25,87.5
2025-10-20 10:45:00+05:30,2025-10-20 10:50:00+05:30,300,BUY_CE,25900,54.05,2025-10-20 11:20:00+05:30,30.0,SL Hit,30.0,30.0,False,-24.05,-1891.25,-1803.75,87.5
2025-10-20 11:25:00+05:30,2025-10-20 11:30:00+05:30,300,BUY_CE,25900,31.95,2025-10-20 13:05:00+05:30,41.95,Locked Profit Hit,41.95,9.74,True,10.0,662.5,750.0,87.5
2025-10-20 13:10:00+05:30,2025-10-20 13:15:00+05:30,300,BUY_CE,25900,40.9,2025-10-20 13:35:00+05:30,22.84,SL Hit,22.84,22.84,False,-18.06,-1442.0,-1354.5,87.5
2025-10-20 13:45:00+05:30,2025-10-20 13:50:00+05:30,300,BUY_PE,25900,51.65,2025-10-20 14:05:00+05:30,59.65,Safe SL Hit,59.65,29.51,True,8.0,512.5,600.0,87.5
2025-10-20 14:20:00+05:30,2025-10-20 14:25:00+05:30,300,BUY_PE,25900,72.0,2025-10-20 14:30:00+05:30,82.0,Locked Profit Hit,82.0,47.0,True,10.0,662.5,750.0,87.5
